Date,QQQ,SPY,VIX
2017-09-28,136.59100341796875,219.22897338867188,9.550000190734863
2017-09-29,137.57464599609375,219.99951171875,9.510000228881836
2017-10-02,137.6976318359375,220.9540557861328,9.449999809265137
2017-10-03,137.99087524414062,221.4269256591797,9.510000228881836
2017-10-04,138.12330627441406,221.68963623046875,9.630000114440918
2017-10-05,139.47589111328125,223.00318908691406,9.1899995803833
2017-10-06,139.6649932861328,222.74923706054688,9.649999618530273
2017-10-09,139.50424194335938,222.38143920898438,10.329999923706055
2017-10-10,139.60821533203125,222.96812438964844,10.079999923706055
2017-10-11,140.02442932128906,223.3184356689453,9.850000381469727
2017-10-12,139.7690887451172,222.985595703125,9.90999984741211
2017-10-13,140.3081817626953,223.25709533691406,9.609999656677246
2017-10-16,140.79061889648438,223.55482482910156,9.90999984741211
2017-10-17,140.97030639648438,223.7124786376953,10.3100004196167
2017-10-18,140.800048828125,223.93141174316406,10.069999694824219
2017-10-19,140.27984619140625,223.99267578125,10.050000190734863
2017-10-20,140.65814208984375,225.14862060546875,9.970000267028809
2017-10-23,139.74070739746094,224.27293395996094,11.069999694824219
2017-10-24,139.97718811035156,224.6669921875,11.15999984741211
2017-10-25,139.44749450683594,223.55482482910156,11.229999542236328
2017-10-26,139.00289916992188,223.84378051757812,11.300000190734863
2017-10-27,143.05117797851562,225.67404174804688,9.800000190734863
2017-10-30,143.37278747558594,224.83335876464844,10.5
2017-10-31,143.9119110107422,225.18357849121094,10.180000305175781
2017-11-01,143.86465454101562,225.4813995361328,10.199999809265137
2017-11-02,143.59031677246094,225.56890869140625,9.930000305175781
2017-11-03,144.97129821777344,226.322021484375,9.140000343322754
2017-11-06,145.46307373046875,226.67233276367188,9.399999618530273
2017-11-07,145.54824829101562,226.51467895507812,9.890000343322754
2017-11-08,146.1346893310547,226.89999389648438,9.779999732971191
2017-11-09,145.36854553222656,226.07687377929688,10.5
2017-11-10,145.3590545654297,226.00677490234375,11.289999961853027
2017-11-13,145.5387725830078,226.2168731689453,11.5
2017-11-14,145.0091094970703,225.69146728515625,11.59000015258789
2017-11-15,144.32806396484375,224.5618896484375,13.130000114440918
2017-11-16,146.17254638671875,226.47088623046875,11.760000228881836
2017-11-17,145.6144561767578,225.8053436279297,11.430000305175781
2017-11-20,145.50094604492188,226.19068908691406,10.649999618530273
2017-11-21,147.08055114746094,227.6705780029297,9.729999542236328
2017-11-22,147.26028442382812,227.46923828125,9.880000114440918
2017-11-24,147.79940795898438,227.99456787109375,9.670000076293945
2017-11-27,147.73316955566406,227.8807830810547,9.869999885559082
2017-11-28,148.11148071289062,230.19252014160156,10.029999732971191
2017-11-29,145.52935791015625,230.0524444580078,10.699999809265137
2017-11-30,146.74948120117188,232.06658935546875,11.279999732971191
